Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
The Viral Garden	5	10	3	26	0	1	6	0	4	34	0	4	0	0	9	4	8	5	2	5	0	1	8	1	8	2	6	36	2	1	7	1	73	2	1	0	4	25	5	4	1	3	8	6	3	14	0	0	1	2	0	1	0	7	1	6	11	15	23	0	0	0	18	7	4	5	2	1	5	26	3	1	9	3	5	1	3	4	1	134	9	13	8	6	12	6	12	9	4	0	5	4	10	2	0	0	24	4	0	14	10	1	46	5	3	8	0	6	6	1	1	10	20	2	16	5	5	0	13	3	7	10	1	1	2	2	14	0	8	7	0	14	0	0	3	17	2	7	3	3	20	0	6	5	1	0	11	5	5	5	5	1	3	3	17	0	8	0	1	0	22	50	6	8	39	3	3	1	0	2	3	41	5	28	2	4	3	3	0	9	2	20	3	14	0	2	22	18	6	2	1	9	1	8	2	16	2	2	2	26	122	2	9	2	31	13	79	7	3	1	25	5	0	4	1	11	1	11	3	10	28	10	3	0	0	1	3	8	0	5	11	11	6	4	8	1	8	1	1	4	2	1	7	20	0	0	2	3	15	10	3	2	14	6	8	1	3	0	8	0	0	8	0	1	14	8	71	1	9	17	0	11	29	7	18	3	10	1	11	10	5	2	9	6	10	5	7	15	7	2	14	16	3	13	0	0	3	3	69	20	9	1	1	1	1	1	1	1	2	1	11	4	12	1	4	2	0	4	13	30	26	3	0	33	3	5	1	1	24	0	5	8	0	10	1	4	3	16	0	3	2	0	0	3	5	0	0	8	8	6	12	4	16	9	0	1	15	3	6	7	6	24	2	9	3	2	11	7	2	13	8	0	9	19	3	1	11	0	3	17	21	0	0	4	11	3	22	11	10	2	2	1	1	0	1	13	0	1	30	0	3	56	68	1	5	14	5	3	9	6	13	8	2	4	6	8	5	0	0	0	1	0	1	2	2	0	1	3	7	19	5	5	7	0	3	0	4	10	2	3	0	8	6	11	1	0	7	8	3	14	12	7	2	3	41	1	12	0	0	1	1	7	0	2	2	0	2	8	3	6	6	2	5	6	19	0	4	7	2	10	3	1	3	0	22	10	0	5	0	6	2	72	21	15	24	0	1	5	12	50	1	17	18	40	2	7	25	0	7	1	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	1	0	2	1	0	1	1	0	0	0	0	2	0	0	0	1	0	0	6	0	0	2	1	5	0	0	0	2	3	1	1	0	0	4	1	1	0	2	1	2	0	0	0	1	1	0	2	2	0	1	0	0	0	0	2	2	0	0	1	4	1	0	0	2	0	2	1	2	1	0	0	0	2	0	0	0	0	0	0	0	7	0	2	1	0	2	0	0	3	3	0	4	4	2	0	4	2	1	0	0	0	0	0	1	1	0	0	2	0	0	2	2	1	15	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	4	1	1	1	1	0	0	2	0	3	0	0	0	0	2	3	1	0	0	0	1	2	0	3	0	1	0	2	3	1	3	2	1	0	0	0	0	1	3	0	2	0	1	1	2	4	0	0	0	0	2	1	1	0	0	3	0	0	1	0	0	4	0	2	1	0	1	0	4	0	1	4	0	6	0	1	0	0	0	2	3	4	1	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	5	3	0	0	0	0	1	0	9	0	0	0	1	2	0	0	0	1	0	0	0	2	0	2	0	0	1	0	3	0	1	0	0	0	7	0	0	0	0	5	3	1	1	1	0	1	0	2	1	0	0	2	0	0	0	3	1	0	3	0	0	0	3	1	2	2	2	0	0	0	3	3	1	3	0	2	3	1	4	2	2	0	2	0	2	2	1	0	0	0	5	0	2	4	1	0	0	1	2	2	0	0	0	1	1	0	4	5	1	0	3	1	0	1	0	1	0	2	2	2	0	0	1	0	7	0	2	0	0	2	0	0	0	0	1	1	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	6	0	1	0	0	0	3	0	1	3	0	0	2	2	2	5	8	1	3	0	0	0	1	1	0	5	0	2	2	0	0	102	0	1	2	0	0	0	1	1	2	1	0	1	5	0	0	1	0	2	0	0	0	0	1	2	2	0	0	0	0	0	2	1	0	0	0	0	1	1	1	0	0	1	0	2	0	3	0	0	0	9	1	0	0	0	0	1	0	0	1	1	0	0	2	5	1	3	1	2	0	0	0	1	0	3	0	3	4	0	1	1	0	5	2	2	4	3	0	0	0	1	0	0	0
Home - SearchEngineWatch	0	2	0	4	0	1	0	0	0	0	2	0	1	0	0	4	0	1	0	0	3	0	2	0	0	1	2	1	3	1	1	0	0	0	0	0	0	4	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	7	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	2	0	1	0	1	0	2	1	0	0	1	0	0	0	2	1	0	0	2	0	0	2	0	1	0	0	0	1	0	1	2	2	0	1	1	0	0	1	0	27	1	0	2	0	2	1	0	2	3	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	1	2	15	0	1	0	1	0	0	1	0	6	0	2	0	0	0	0	1	7	1	0	0	1	0	1	0	0	1	0	0	6	0	0	0	0	2	0	0	4	1	1	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	1	0	0	4	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	0	0	1	1	0	0	0	0	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	1	0	0	4	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	1	2	0	2	1	4	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	26	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	0	2	0	0	0	0	0	2	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	1	0	0	0	3	0	0	0	1	2	2	0	0	0	0	0	7	1	1	3	0	0	0	0	8	0	1	1	1	1	1	0	0	1	1	0
Neil Gaiman's Journal	0	8	3	53	9	1	9	8	0	18	0	3	1	2	4	9	8	3	2	6	0	14	13	13	25	11	43	40	2	2	11	12	61	6	8	1	5	40	0	16	4	0	5	15	2	11	1	5	6	4	1	2	3	8	2	2	27	32	14	5	0	0	16	10	23	0	0	4	33	24	4	2	38	0	13	1	5	4	3	4	2	1	5	5	19	8	9	27	2	1	1	1	33	2	0	4	32	11	5	22	10	8	14	1	6	1	2	6	19	0	6	22	16	3	38	10	0	8	5	4	0	11	3	2	3	3	17	32	16	6	2	5	0	3	0	15	10	3	5	2	30	4	11	0	2	5	7	6	3	6	1	1	8	1	12	16	14	0	10	0	30	41	0	7	39	3	1	9	10	0	23	6	6	8	1	6	2	3	1	9	4	4	6	14	0	5	31	41	3	5	0	8	0	1	1	29	9	6	4	8	6	5	40	3	2	4	29	7	8	3	30	6	11	16	4	1	2	8	2	3	10	1	11	0	1	1	7	3	5	2	8	10	7	5	7	9	15	2	1	0	2	2	2	33	3	2	2	5	25	8	4	0	4	4	3	4	4	32	7	0	3	11	0	47	8	5	15	1	3	31	0	8	0	0	11	15	13	2	8	3	11	2	18	2	2	11	17	0	4	4	15	56	2	13	1	0	6	5	43	31	3	3	4	3	4	1	6	0	6	6	19	11	13	4	1	16	255	4	15	16	29	9	7	33	0	11	4	23	24	7	4	12	3	6	1	4	1	7	1	1	1	2	1	13	6	0	7	26	3	3	7	7	20	2	17	4	3	14	2	14	1	18	0	10	7	1	0	3	3	7	8	4	2	20	0	2	2	0	18	33	19	6	3	3	0	6	32	8	0	2	8	7	7	1	4	9	0	0	36	5	1	100	80	3	18	21	20	8	17	5	18	8	10	1	14	7	2	5	12	3	3	0	0	2	0	11	2	2	1	13	4	0	2	2	2	3	10	7	4	12	5	8	0	6	3	3	20	4	9	7	6	13	5	7	59	5	2	2	5	4	11	7	4	6	27	16	4	19	16	18	0	3	4	7	0	4	11	9	5	0	3	0	3	1	15	18	3	4	0	9	22	38	39	46	6	0	2	2	6	65	0	16	24	27	1	9	6	3	13	3	51
456 Berea Street	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	2	2	1	0	0	2	1	0	0	0	0	0	0	1	0	0	2	1	1	1	0	2	0	0	0	0	1	0	1	1	1	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	12	0	0	0	1	0	0	0	8	3	1	3	0	0	2	0	1	0	0	3	4	0	0	1	0	0	0	1	0	0	0	2	4	0	0	1	1	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	5	0	1	2	6	0	0	0	6	0	0	1	0	0	2	0	3	0	1	0	1	3	0	1	6	0	0	0	0	0	0	3	0	5	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	1	3	0	0	10	0	8	0	1	1	4	0	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	6	2	0	4	0	0	0	0	5	0	0	0	1	1	0	0	0	2	0	1	1	0	0	1	5	0	5	0	0	4	0	0	0	0	1	1	0	0	1	4	2	1	0	0	1	0	1	2	0	0	0	0	3	4	1	1	0	0	0	1	0	1	0	9	5	0	0	0	0	0	0	0	0	4	0	0	3	5	0	1	1	0	0	0	3	0	0	1	3	0	1	1	0	1	0	1	0	0	1	0	7	0	2	0	0	3	0	0	0	1	0	0	2	1	2	0	1	2	0	0	0	0	1	3	2	0	2	0	1	0	0	2	0	0	0	5	0	2	1	0	2	0	0	0	0	0	0	10	0	2	0	0	4	2	2	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	3	0	2	0	0	1	1	1	2	3	0	1	0	0	2	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	1	0	0	0	0	0	0	7	0	1	4	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	3	3	1	0	0	0	0	0	5	1	0	0	1	0	1	1	0	0	0	0
Signal vs. Noise	0	0	0	11	1	0	1	0	0	6	4	1	2	2	0	17	3	2	0	1	1	1	5	2	5	5	14	9	2	1	7	1	8	16	5	1	1	12	7	1	7	2	0	9	1	7	0	0	1	0	0	2	0	4	0	2	4	6	7	0	0	1	8	1	7	0	3	0	2	4	0	0	2	1	2	2	0	2	2	3	1	2	1	0	3	3	3	10	3	0	0	0	9	1	0	0	5	5	0	2	2	3	0	0	1	0	0	2	6	0	5	6	1	0	7	4	0	2	5	2	0	4	2	0	2	0	5	0	6	0	0	5	0	4	2	5	2	4	9	1	9	5	4	4	0	3	2	1	3	0	2	1	0	0	21	0	3	0	2	2	3	10	0	3	21	4	0	3	0	2	0	1	1	18	0	3	3	5	0	2	7	3	0	3	0	1	7	1	1	4	6	7	0	2	0	6	3	0	3	9	1	3	1	1	3	3	18	2	4	3	10	3	0	3	3	1	2	2	1	3	0	1	0	1	2	3	4	1	0	0	4	5	1	2	3	4	1	0	0	4	0	3	2	11	0	1	0	6	5	0	0	5	6	5	0	1	0	17	4	11	1	4	3	0	4	1	0	1	3	3	0	1	3	0	9	1	4	1	2	1	1	5	4	1	6	2	0	0	6	2	7	16	1	1	0	0	1	0	11	19	1	1	1	1	1	0	2	1	6	0	9	3	4	2	2	1	0	0	10	2	5	1	1	5	3	8	2	1	18	0	2	0	1	8	0	4	0	3	2	2	0	1	0	1	3	0	2	3	5	0	0	1	6	10	2	5	6	3	3	5	0	7	2	4	0	1	0	1	1	2	1	0	2	5	2	1	2	0	2	6	14	0	0	4	0	4	0	4	1	3	0	1	1	2	1	8	2	1	10	0	0	17	51	1	4	2	2	1	8	0	3	2	1	1	7	3	3	1	0	0	0	0	0	1	2	5	2	0	1	10	0	1	2	0	2	4	2	2	2	1	0	3	0	1	0	0	4	0	2	1	0	3	8	0	8	2	0	4	2	1	1	3	0	5	1	2	1	6	0	0	0	3	1	0	10	2	0	1	0	3	0	2	0	0	4	8	0	2	1	21	2	15	5	10	8	0	2	1	0	6	1	4	9	5	3	1	2	2	8	0	0
Joel on Software	4	0	1	7	0	0	1	3	4	25	14	0	4	3	1	36	1	0	3	1	0	2	5	2	8	1	22	12	4	3	6	4	45	1	3	2	1	20	11	4	5	3	2	7	2	9	5	6	2	10	6	3	0	7	10	2	11	11	7	0	0	1	6	11	10	1	0	3	0	2	1	0	2	3	4	0	4	4	2	2	0	10	2	0	2	4	6	15	3	3	7	0	4	1	9	4	8	6	4	2	11	3	5	0	6	1	0	1	3	4	2	17	0	4	15	0	0	0	26	10	6	6	12	1	4	0	4	0	16	8	15	16	1	1	5	8	1	2	5	2	7	2	6	2	4	3	0	2	2	0	3	4	1	6	22	0	5	1	1	5	9	30	4	0	25	1	3	0	0	1	0	4	9	15	1	3	2	1	3	2	14	11	1	8	5	1	12	7	1	1	2	18	0	3	1	7	4	0	1	10	0	2	5	3	15	8	20	8	8	3	9	0	2	2	0	6	0	9	2	12	1	1	18	0	0	0	4	1	1	2	1	2	10	0	4	7	9	1	6	5	1	1	2	23	1	5	1	9	13	0	2	2	4	7	0	0	7	16	6	0	2	15	2	0	6	2	2	1	2	1	1	0	12	3	21	2	10	4	3	2	2	6	5	1	12	1	2	1	1	3	22	7	5	3	0	0	9	0	33	21	1	2	2	2	0	0	0	3	8	0	5	6	7	0	3	1	22	2	8	11	19	10	3	13	0	1	1	0	32	0	3	2	0	14	1	9	11	4	3	21	4	0	0	0	1	0	4	12	1	3	1	3	6	5	0	5	8	6	1	2	8	13	0	11	2	2	2	3	2	14	8	3	5	5	5	1	2	9	0	10	10	0	0	1	6	3	0	7	7	1	4	4	0	5	1	24	0	2	12	1	1	12	7	1	2	8	6	5	10	11	4	6	9	2	9	2	6	1	1	1	3	0	3	2	3	12	0	3	2	6	1	1	1	1	0	2	9	0	1	4	0	19	9	7	0	1	5	3	1	1	0	1	5	2	23	0	6	2	10	2	3	17	0	4	2	10	0	0	1	1	1	2	0	6	6	2	8	3	1	13	2	1	1	3	9	9	3	0	1	32	1	23	32	19	9	2	4	3	1	19	1	15	12	19	2	9	8	0	4	1	0
Boing Boing	0	1	0	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	2	2	1	0	0	1	0	1	2	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	3	2	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	26	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	5	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	1	0	0	0	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	1	0	0	0	4	0	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	1	0	3	0	0	0	0	1	4	3	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	2	1	4	3	0	0	2	0	0	1	2	0	1	0	2
flagrantdisregard	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	3	1	0	5	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Pharyngula	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
Steve Pavlina's Personal Development Blog	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	5	0	0	0	0	1	0	5	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	7	1	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	1	9	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	2	0	0	0	0	2	1	0	1	1	0	2	0	1	3	1	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	5	0	0	2	2	0	1	0	0	0	0	3	1	0	1	0	2	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	2	0	0	0	10	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0
WIL WHEATON dot NET	0	0	1	5	5	0	1	3	1	1	0	0	0	0	1	5	6	0	2	1	0	2	6	1	1	5	10	12	0	3	3	5	13	0	0	1	1	16	2	3	3	6	0	4	3	4	2	0	1	1	0	0	0	1	0	2	9	6	2	0	0	2	4	7	4	0	2	0	1	6	3	4	0	0	2	0	2	2	0	0	0	0	0	0	0	1	1	17	2	0	0	3	4	7	0	2	4	0	0	3	2	2	3	0	1	0	0	1	6	0	3	5	1	1	1	1	0	1	4	0	0	2	0	2	0	0	4	0	5	1	0	5	0	1	2	0	1	1	10	0	9	0	8	1	0	1	0	1	0	0	2	1	6	0	5	0	3	0	0	0	5	2	0	6	14	5	0	1	0	0	2	2	1	12	1	4	0	2	0	6	0	2	3	1	0	0	5	3	0	0	0	3	0	2	3	4	1	0	0	1	0	0	1	1	0	0	2	1	2	0	4	1	5	4	0	0	0	1	0	1	0	2	0	0	1	0	7	0	0	2	0	0	2	2	2	1	5	3	0	0	2	13	0	13	4	0	0	1	2	0	0	0	1	1	0	1	2	0	2	0	0	2	0	0	8	0	3	1	0	40	0	1	0	1	4	4	7	3	3	3	2	0	5	1	3	5	4	0	3	2	4	28	3	9	0	0	0	0	12	4	1	0	2	1	0	3	0	2	2	3	6	5	2	3	3	5	2	3	6	6	8	6	2	9	0	6	1	1	7	2	1	0	1	7	1	2	0	4	2	0	0	0	0	2	1	0	0	5	0	2	2	2	10	4	4	2	1	2	0	14	2	1	0	1	1	1	2	1	1	0	4	0	0	5	2	2	1	0	3	4	5	2	0	1	0	4	1	3	0	0	1	3	1	0	0	5	0	0	9	2	0	36	39	1	2	7	6	2	8	2	3	2	1	0	3	1	2	2	0	0	1	3	0	1	2	3	0	2	0	2	2	2	0	2	2	0	6	1	1	0	2	0	0	5	0	0	4	0	7	3	0	1	2	0	10	0	0	0	0	0	0	0	1	3	2	0	0	13	20	2	1	3	2	0	0	0	0	1	0	0	0	3	0	0	7	6	0	0	0	10	0	5	3	20	7	2	3	0	0	4	0	5	6	22	1	1	2	0	9	0	0
